Date,Open,High,Low,Close,Volume
2020-01-01,183.39613272640344,208.78455888274675,119.04571404056006,148.30726656364024,10323005
2020-01-02,149.56142661349722,225.96013073220513,134.0464487508287,105.59235330121433,24152754
2020-01-03,133.6170099622189,170.83513728913536,104.1029155295958,127.26595377814843,38416379
2020-01-04,188.6735705949855,156.44715740082086,112.39161939103064,165.21585252496186,34018966
2020-01-05,129.5482548182098,181.946304587077,102.56268908870288,174.69303656705102,24852069
2020-01-06,102.25613861297094,234.48146362031392,120.98220972510316,130.573708483077,24928566
2020-01-07,154.51700421650773,156.77013628185202,136.90673109836703,174.54850310402594,5603773
2020-01-08,108.63350768680174,240.06561300287544,105.55171212891109,152.98354145233154,42288170
2020-01-09,169.91861011542767,181.73993893593598,109.6059581098957,132.0746726996281,25496044
2020-01-10,145.50818315385416,223.98983422983653,82.58726847013247,190.27904913183528,43113352
2020-01-11,152.94681400045303,229.69796917036481,80.08651412568045,128.25951702611934,10311887
2020-01-12,132.63639677117865,167.74212739323184,110.75917867596836,165.03114998525822,17305148
2020-01-13,114.29651930448915,190.57699267844063,143.7387139164066,161.66454957922903,44927081
2020-01-14,163.5053696064818,199.74087707653752,140.35376488235806,109.02914001317242,41609972
2020-01-15,175.7347732897687,160.48056331762984,98.32869837198106,182.07856992849395,46568893
2020-01-16,179.32556622930974,196.93901427053243,109.8204789212803,126.53525270665557,27462592
2020-01-17,138.18587101009808,182.66787782491767,143.57462695310355,140.719339870991,25132568
2020-01-18,165.07084591659202,196.81340206274473,92.03239967579837,125.70115403522561,18394669
2020-01-19,140.33145035942474,204.1113303697245,126.27555906647089,149.66826798789214,38466826
2020-01-20,160.08874249217666,239.9413972150008,85.34533055153987,109.09738994712734,33880623
2020-01-21,165.07230098884622,203.22804808042244,125.85915389500502,188.30937193015228,9000214
2020-01-22,144.3766800519209,151.82857995167308,86.92894817327226,142.73580009118746,3062747
2020-01-23,184.5076299887387,240.0376445376266,119.35683074844452,152.38381659649338,2145461
2020-01-24,113.68043806819435,200.1587229310991,100.69549195191283,160.10606832336924,20111209
